Time,Extension,Load
(sec),(mm),(N)
0.00000,9.96269,0.00006
0.10000,9.96269,0.00011
0.20000,9.96061,-0.00008
0.30000,9.95207,-0.00093
0.40000,9.94498,-0.00175
0.50000,9.93936,-0.00238
0.60000,9.93373,-0.00310
0.70000,9.92832,-0.00378
0.80000,9.92290,-0.00447
0.90000,9.91769,-0.00514
1.00000,9.91269,-0.00584
1.10000,9.90769,-0.00654
1.20000,9.90269,-0.00732
1.30000,9.89811,-0.00801
1.40000,9.89311,-0.00880
1.50000,9.88811,-0.00965
1.60000,9.88290,-0.01051
1.70000,9.87811,-0.01132
1.80000,9.87311,-0.01228
1.90000,9.86811,-0.01314
2.00000,9.86290,-0.01412
2.10000,9.85832,-0.01497
2.20000,9.85311,-0.01600
2.30000,9.84790,-0.01697
2.40000,9.84290,-0.01799
2.50000,9.83811,-0.01905
2.60000,9.83332,-0.02004
2.70000,9.82832,-0.02103
2.80000,9.82311,-0.02219
2.90000,9.81832,-0.02320
3.00000,9.81311,-0.02442
3.10000,9.80790,-0.02563
3.20000,9.80290,-0.02673
3.30000,9.79790,-0.02795
3.40000,9.79290,-0.02908
3.50000,9.78811,-0.03017
3.60000,9.78311,-0.03143
3.70000,9.77832,-0.03253
3.80000,9.77290,-0.03382
3.90000,9.76790,-0.03512
4.00000,9.76248,-0.03648
4.10000,9.75748,-0.03787
4.20000,9.75269,-0.03898
4.30000,9.74811,-0.04017
4.40000,9.74269,-0.04163
4.50000,9.73748,-0.04298
4.60000,9.73228,-0.04443
4.70000,9.72727,-0.04577
4.80000,9.72248,-0.04718
4.90000,9.71748,-0.04855
5.00000,9.71269,-0.04987
5.10000,9.70790,-0.05129
5.20000,9.70290,-0.05271
5.30000,9.69811,-0.05409
5.40000,9.69290,-0.05559
5.50000,9.68769,-0.05712
5.60000,9.68269,-0.05872
5.70000,9.67769,-0.06015
5.80000,9.67290,-0.06160
5.90000,9.66811,-0.06306
6.00000,9.66332,-0.06452
6.10000,9.65811,-0.06602
6.20000,9.65290,-0.06774
6.30000,9.64790,-0.06923
6.40000,9.64290,-0.07079
6.50000,9.63790,-0.07234
6.60000,9.63311,-0.07374
6.70000,9.62811,-0.07524
6.80000,9.62332,-0.07661
6.90000,9.61811,-0.07793
7.00000,9.61290,-0.07954
7.10000,9.60769,-0.08117
7.20000,9.60269,-0.08287
7.30000,9.59790,-0.08453
7.40000,9.59332,-0.08606
7.50000,9.58811,-0.08785
7.60000,9.58332,-0.08959
7.70000,9.57790,-0.09131
7.80000,9.57227,-0.09343
7.90000,9.56728,-0.09530
8.00000,9.56269,-0.09689
8.10000,9.55769,-0.09865
8.20000,9.55290,-0.10024
8.30000,9.54811,-0.10195
8.40000,9.54332,-0.10375
8.50000,9.53811,-0.10549
8.60000,9.53248,-0.10769
8.70000,9.52728,-0.10977
8.80000,9.52248,-0.11151
8.90000,9.51748,-0.11330
9.00000,9.51290,-0.11507
9.10000,9.50790,-0.11691
9.20000,9.50311,-0.11875
9.30000,9.49811,-0.12072
9.40000,9.49290,-0.12267
9.50000,9.48769,-0.12470
9.60000,9.48290,-0.12664
9.70000,9.47769,-0.12869
9.80000,9.47290,-0.13062
9.90000,9.46769,-0.13272
10.00000,9.46311,-0.13453
10.01400,9.46228,-0.13475
10.01600,9.46228,-0.13479
10.11600,9.46082,-0.13510
10.21600,9.46082,-0.13411
10.31600,9.46082,-0.13321
10.41600,9.46082,-0.13236
10.51600,9.46082,-0.13159
10.61600,9.46082,-0.13084
10.71600,9.46082,-0.13012
10.81600,9.46082,-0.12950
10.91600,9.46082,-0.12889
11.01600,9.46082,-0.12829
11.11600,9.46082,-0.12777
11.21600,9.46082,-0.12714
11.31600,9.46082,-0.12660
11.41600,9.46123,-0.12603
11.51600,9.46123,-0.12552
11.61600,9.46123,-0.12502
11.71600,9.46144,-0.12458
11.81600,9.46144,-0.12404
11.91600,9.46144,-0.12355
12.01600,9.46165,-0.12307
12.11600,9.46165,-0.12260
12.21600,9.46186,-0.12211
12.31600,9.46186,-0.12174
12.41600,9.46186,-0.12133
12.51600,9.46186,-0.12089
12.61600,9.46186,-0.12046
12.71600,9.46207,-0.12005
12.81600,9.46207,-0.11966
12.91600,9.46207,-0.11924
13.01600,9.46207,-0.11887
13.11600,9.46207,-0.11850
13.21600,9.46207,-0.11816
13.31600,9.46207,-0.11778
13.41600,9.46207,-0.11741
13.51600,9.46228,-0.11707
13.61600,9.46228,-0.11674
13.71600,9.46228,-0.11638
13.81600,9.46228,-0.11602
13.91600,9.46228,-0.11572
14.01600,9.46228,-0.11538
14.11600,9.46228,-0.11507
14.21600,9.46228,-0.11476
14.31600,9.46228,-0.11448
14.41600,9.46228,-0.11412
14.51600,9.46228,-0.11384
14.61600,9.46228,-0.11352
14.71600,9.46228,-0.11321
14.81600,9.46228,-0.11295
14.91600,9.46228,-0.11250
15.01600,9.46228,-0.11218
15.11600,9.46228,-0.11187
15.21600,9.46228,-0.11155
15.31600,9.46228,-0.11129
15.41600,9.46228,-0.11103
15.51600,9.46228,-0.11073
15.61600,9.46228,-0.11047
15.71600,9.46228,-0.11024
15.81600,9.46228,-0.10991
15.91600,9.46228,-0.10966
16.01600,9.46228,-0.10937
16.11600,9.46228,-0.10913
16.21600,9.46228,-0.10884
16.31600,9.46228,-0.10861
16.41600,9.46228,-0.10836
16.51600,9.46228,-0.10811
16.61600,9.46228,-0.10784
16.71600,9.46228,-0.10760
16.81600,9.46228,-0.10736
16.91600,9.46228,-0.10711
17.01600,9.46228,-0.10689
17.11600,9.46228,-0.10662
17.21600,9.46228,-0.10634
17.31600,9.46228,-0.10610
17.41600,9.46228,-0.10590
17.51600,9.46228,-0.10567
17.61600,9.46228,-0.10542
17.71600,9.46228,-0.10521
17.81600,9.46228,-0.10498
17.91600,9.46228,-0.10474
18.01600,9.46228,-0.10450
18.11600,9.46228,-0.10430
18.21600,9.46228,-0.10402
18.31600,9.46228,-0.10383
18.41600,9.46228,-0.10363
18.51600,9.46228,-0.10340
18.61600,9.46228,-0.10319
18.71600,9.46228,-0.10294
18.81600,9.46228,-0.10274
18.91600,9.46228,-0.10252
19.01600,9.46228,-0.10230
19.11600,9.46228,-0.10209
19.21600,9.46228,-0.10190
19.31600,9.46228,-0.10169
19.41600,9.46228,-0.10146
19.51600,9.46228,-0.10126
19.61600,9.46228,-0.10107
19.71600,9.46228,-0.10088
19.81600,9.46228,-0.10064
19.91600,9.46228,-0.10044
20.01600,9.46228,-0.10025
20.11600,9.46228,-0.10004
20.21600,9.46228,-0.09984
20.31600,9.46228,-0.09967
20.41600,9.46228,-0.09950
20.51600,9.46228,-0.09931
20.61600,9.46228,-0.09912
20.71600,9.46228,-0.09891
20.81600,9.46228,-0.09871
20.91600,9.46228,-0.09852
21.01600,9.46228,-0.09835
21.11600,9.46228,-0.09814
21.21600,9.46228,-0.09797
21.31600,9.46228,-0.09777
21.41600,9.46228,-0.09757
21.51600,9.46228,-0.09739
