Time,Extension,Load
(sec),(mm),(N)
0.00000,9.97769,0.00007
0.10000,9.97769,0.00007
0.20000,9.97519,-0.00011
0.30000,9.96686,-0.00089
0.40000,9.95957,-0.00157
0.50000,9.95373,-0.00214
0.60000,9.94852,-0.00263
0.70000,9.94332,-0.00319
0.80000,9.93894,-0.00360
0.90000,9.93373,-0.00412
1.00000,9.92811,-0.00482
1.10000,9.92269,-0.00550
1.20000,9.91769,-0.00615
1.30000,9.91290,-0.00679
1.40000,9.90790,-0.00744
1.50000,9.90290,-0.00810
1.60000,9.89852,-0.00873
1.70000,9.89332,-0.00954
1.80000,9.88811,-0.01035
1.90000,9.88311,-0.01118
2.00000,9.87811,-0.01198
2.10000,9.87332,-0.01286
2.20000,9.86832,-0.01365
2.30000,9.86311,-0.01453
2.40000,9.85852,-0.01541
2.50000,9.85332,-0.01640
2.60000,9.84811,-0.01739
2.70000,9.84290,-0.01836
2.80000,9.83811,-0.01934
2.90000,9.83352,-0.02024
3.00000,9.82852,-0.02126
3.10000,9.82332,-0.02234
3.20000,9.81853,-0.02336
3.30000,9.81332,-0.02455
3.40000,9.80832,-0.02567
3.50000,9.80311,-0.02678
3.60000,9.79811,-0.02793
3.70000,9.79311,-0.02905
3.80000,9.78832,-0.03024
3.90000,9.78311,-0.03147
4.00000,9.77832,-0.03259
4.10000,9.77311,-0.03382
4.20000,9.76811,-0.03509
4.30000,9.76269,-0.03644
4.40000,9.75748,-0.03777
4.50000,9.75290,-0.03898
4.60000,9.74811,-0.04017
4.70000,9.74290,-0.04153
4.80000,9.73790,-0.04284
4.90000,9.73290,-0.04421
5.00000,9.72790,-0.04560
5.10000,9.72248,-0.04702
5.20000,9.71769,-0.04836
5.30000,9.71290,-0.04968
5.40000,9.70811,-0.05104
5.50000,9.70332,-0.05241
5.60000,9.69853,-0.05371
5.70000,9.69311,-0.05525
5.80000,9.68811,-0.05679
5.90000,9.68290,-0.05840
6.00000,9.67790,-0.05986
6.10000,9.67311,-0.06123
6.20000,9.66832,-0.06271
6.30000,9.66353,-0.06419
6.40000,9.65832,-0.06561
6.50000,9.65311,-0.06734
6.60000,9.64790,-0.06892
6.70000,9.64311,-0.07052
6.80000,9.63811,-0.07199
6.90000,9.63332,-0.07353
7.00000,9.62832,-0.07508
7.10000,9.62352,-0.07668
7.20000,9.61832,-0.07832
7.30000,9.61311,-0.08010
7.40000,9.60790,-0.08182
7.50000,9.60311,-0.08343
7.60000,9.59811,-0.08499
7.70000,9.59352,-0.08654
7.80000,9.58832,-0.08825
7.90000,9.58353,-0.08990
8.00000,9.57811,-0.09169
8.10000,9.57248,-0.09370
8.20000,9.56748,-0.09553
8.30000,9.56269,-0.09713
8.40000,9.55790,-0.09882
8.50000,9.55332,-0.10037
8.60000,9.54832,-0.10207
8.70000,9.54353,-0.10379
8.80000,9.53832,-0.10549
8.90000,9.53269,-0.10758
9.00000,9.52748,-0.10958
9.10000,9.52269,-0.11122
9.20000,9.51790,-0.11299
9.30000,9.51311,-0.11465
9.40000,9.50811,-0.11641
9.50000,9.50332,-0.11823
9.60000,9.49832,-0.11999
9.70000,9.49332,-0.12187
9.80000,9.48790,-0.12388
9.90000,9.48290,-0.12565
10.00000,9.47811,-0.12748
10.00600,9.47769,-0.12759
10.00800,9.47769,-0.12762
10.10800,9.47623,-0.12788
10.20800,9.47603,-0.12694
10.30800,9.47603,-0.12586
10.40800,9.47603,-0.12493
10.50800,9.47603,-0.12408
10.60800,9.47603,-0.12324
10.70800,9.47603,-0.12254
10.80800,9.47603,-0.12182
10.90800,9.47603,-0.12112
11.00800,9.47603,-0.12050
11.10800,9.47603,-0.11988
11.20800,9.47644,-0.11921
11.30800,9.47644,-0.11861
11.40800,9.47644,-0.11801
11.50800,9.47665,-0.11740
11.60800,9.47665,-0.11676
11.70800,9.47686,-0.11622
11.80800,9.47686,-0.11564
11.90800,9.47686,-0.11504
12.00800,9.47707,-0.11450
12.10800,9.47707,-0.11397
12.20800,9.47707,-0.11340
12.30800,9.47728,-0.11290
12.40800,9.47728,-0.11240
12.50800,9.47728,-0.11192
12.60800,9.47728,-0.11148
12.70800,9.47728,-0.11100
12.80800,9.47748,-0.11053
12.90800,9.47748,-0.11012
13.00800,9.47748,-0.10969
13.10800,9.47748,-0.10925
13.20800,9.47748,-0.10880
13.30800,9.47769,-0.10844
13.40800,9.47769,-0.10807
13.50800,9.47769,-0.10770
13.60800,9.47769,-0.10731
13.70800,9.47769,-0.10693
13.80800,9.47769,-0.10656
13.90800,9.47769,-0.10619
14.00800,9.47769,-0.10585
14.10800,9.47769,-0.10552
14.20800,9.47769,-0.10516
14.30800,9.47769,-0.10481
14.40800,9.47769,-0.10448
14.50800,9.47769,-0.10415
14.60800,9.47769,-0.10384
14.70800,9.47769,-0.10351
14.80800,9.47769,-0.10319
14.90800,9.47769,-0.10286
15.00800,9.47769,-0.10254
15.10800,9.47769,-0.10225
15.20800,9.47769,-0.10198
15.30800,9.47769,-0.10161
15.40800,9.47769,-0.10137
15.50800,9.47769,-0.10110
15.60800,9.47769,-0.10076
15.70800,9.47769,-0.10049
15.80800,9.47769,-0.10022
15.90800,9.47769,-0.09994
16.00800,9.47769,-0.09967
16.10800,9.47769,-0.09940
16.20800,9.47769,-0.09912
16.30800,9.47769,-0.09879
16.40800,9.47769,-0.09855
16.50800,9.47769,-0.09831
16.60800,9.47769,-0.09804
16.70800,9.47769,-0.09778
16.80800,9.47769,-0.09750
16.90800,9.47769,-0.09725
17.00800,9.47769,-0.09701
17.10800,9.47769,-0.09679
17.20800,9.47769,-0.09651
17.30800,9.47769,-0.09628
17.40800,9.47769,-0.09605
17.50800,9.47769,-0.09578
17.60800,9.47769,-0.09552
17.70800,9.47769,-0.09532
17.80800,9.47769,-0.09505
17.90800,9.47769,-0.09480
18.00800,9.47769,-0.09457
18.10800,9.47769,-0.09437
18.20800,9.47769,-0.09411
18.30800,9.47769,-0.09386
18.40800,9.47769,-0.09367
18.50800,9.47769,-0.09350
18.60800,9.47769,-0.09326
18.70800,9.47769,-0.09303
18.80800,9.47769,-0.09282
18.90800,9.47769,-0.09261
19.00800,9.47769,-0.09238
19.10800,9.47769,-0.09219
19.20800,9.47769,-0.09197
19.30800,9.47769,-0.09176
19.40800,9.47769,-0.09155
19.50800,9.47769,-0.09135
19.60800,9.47769,-0.09113
19.70800,9.47769,-0.09094
19.80800,9.47769,-0.09071
19.90800,9.47769,-0.09054
20.00800,9.47769,-0.09034
20.10800,9.47769,-0.09013
20.20800,9.47769,-0.08995
20.30800,9.47769,-0.08976
20.40800,9.47769,-0.08958
20.50800,9.47769,-0.08936
20.60800,9.47769,-0.08918
20.70800,9.47769,-0.08896
20.80800,9.47769,-0.08878
20.90800,9.47769,-0.08860
21.00800,9.47769,-0.08843
21.10800,9.47769,-0.08826
21.20800,9.47769,-0.08803
21.30800,9.47769,-0.08788
21.40800,9.47769,-0.08771
21.50800,9.47769,-0.08754
21.60800,9.47769,-0.08733
21.70800,9.47769,-0.08718
21.80800,9.47769,-0.08698
21.90800,9.47769,-0.08681
22.00800,9.47769,-0.08666
22.10800,9.47769,-0.08649
22.20800,9.47769,-0.08628
22.30800,9.47769,-0.08610
22.40800,9.47769,-0.08594
22.50800,9.47769,-0.08582
22.60800,9.47769,-0.08566
22.70800,9.47769,-0.08548
22.80800,9.47769,-0.08530
22.90800,9.47769,-0.08514
23.00800,9.47769,-0.08497
23.10800,9.47769,-0.08484
23.20800,9.47769,-0.08468
23.30800,9.47769,-0.08452
23.40800,9.47769,-0.08435
23.50800,9.47769,-0.08418
23.60800,9.47769,-0.08402
23.70800,9.47769,-0.08390
23.80800,9.47769,-0.08372
23.90800,9.47769,-0.08360
24.00800,9.47769,-0.08340
24.10800,9.47769,-0.08326
24.20800,9.47769,-0.08313
24.30800,9.47769,-0.08292
24.40800,9.47769,-0.08281
24.50800,9.47769,-0.08265
24.60800,9.47769,-0.08250
24.70800,9.47769,-0.08236
24.80800,9.47769,-0.08220
24.90800,9.47769,-0.08210
25.00800,9.47769,-0.08196
25.10800,9.47769,-0.08173
25.20800,9.47769,-0.08163
25.30800,9.47769,-0.08150
25.40800,9.47769,-0.08137
25.50800,9.47769,-0.08117
25.60800,9.47769,-0.08106
25.70800,9.47769,-0.08092
25.80800,9.47769,-0.08082
25.90800,9.47769,-0.08065
26.00800,9.47769,-0.08053
26.10800,9.47769,-0.08040
26.20800,9.47769,-0.08027
26.30800,9.47769,-0.08014
26.40800,9.47769,-0.08002
26.50800,9.47769,-0.07984
26.60800,9.47769,-0.07976
26.70800,9.47769,-0.07962
26.80800,9.47769,-0.07943
26.90800,9.47769,-0.07933
27.00800,9.47769,-0.07921
27.10800,9.47769,-0.07911
27.20800,9.47769,-0.07896
27.30800,9.47769,-0.07884
27.40800,9.47769,-0.07872
27.50800,9.47769,-0.07857
27.60800,9.47769,-0.07840
27.70800,9.47769,-0.07833
27.80800,9.47769,-0.07821
27.90800,9.47769,-0.07809
28.00800,9.47769,-0.07800
28.10800,9.47769,-0.07787
28.20800,9.47769,-0.07772
28.30800,9.47769,-0.07759
28.40800,9.47769,-0.07749
28.50800,9.47769,-0.07738
28.60800,9.47769,-0.07726
28.70800,9.47769,-0.07714
28.80800,9.47769,-0.07702
28.90800,9.47769,-0.07687
29.00800,9.47769,-0.07679
29.10800,9.47769,-0.07665
29.20800,9.47769,-0.07653
29.30800,9.47769,-0.07641
29.40800,9.47769,-0.07627
29.50800,9.47769,-0.07619
29.60800,9.47769,-0.07605
29.70800,9.47769,-0.07596
29.80800,9.47769,-0.07584
29.90800,9.47769,-0.07576
30.00800,9.47769,-0.07562
30.10800,9.47769,-0.07550
30.20800,9.47769,-0.07540
30.30800,9.47769,-0.07526
30.40800,9.47769,-0.07518
30.50800,9.47769,-0.07507
30.60800,9.47769,-0.07499
30.70800,9.47769,-0.07488
30.80800,9.47769,-0.07478
30.90800,9.47769,-0.07464
31.00800,9.47769,-0.07455
31.10800,9.47769,-0.07444
31.20800,9.47769,-0.07439
31.30800,9.47769,-0.07421
31.40800,9.47769,-0.07415
31.50800,9.47769,-0.07403
31.60800,9.47769,-0.07395
31.70800,9.47769,-0.07385
31.80800,9.47769,-0.07374
31.90800,9.47769,-0.07364
32.00800,9.47769,-0.07352
32.10800,9.47769,-0.07342
32.20800,9.47769,-0.07330
32.30800,9.47769,-0.07320
32.40800,9.47769,-0.07310
32.50800,9.47769,-0.07300
32.60800,9.47769,-0.07293
32.70800,9.47769,-0.07284
32.80800,9.47769,-0.07271
32.90800,9.47769,-0.07262
33.00800,9.47769,-0.07252
33.10800,9.47769,-0.07240
33.20800,9.47769,-0.07232
33.30800,9.47769,-0.07221
33.40800,9.47769,-0.07210
33.50800,9.47769,-0.07203
33.60800,9.47769,-0.07192
33.70800,9.47769,-0.07184
33.80800,9.47769,-0.07177
33.90800,9.47769,-0.07162
34.00800,9.47769,-0.07152
34.10800,9.47769,-0.07148
34.20800,9.47769,-0.07136
34.30800,9.47769,-0.07126
34.40800,9.47769,-0.07117
34.50800,9.47769,-0.07110
34.60800,9.47769,-0.07102
34.70800,9.47769,-0.07092
34.80800,9.47769,-0.07082
34.90800,9.47769,-0.07073
35.00800,9.47769,-0.07065
35.10800,9.47769,-0.07057
35.20800,9.47769,-0.07045
35.30800,9.47769,-0.07034
35.40800,9.47769,-0.07027
35.50800,9.47769,-0.07019
35.60800,9.47769,-0.07008
35.70800,9.47769,-0.07003
35.80800,9.47769,-0.06995
35.90800,9.47769,-0.06986
36.00800,9.47769,-0.06972
36.10800,9.47769,-0.06965
36.20800,9.47769,-0.06958
36.30800,9.47769,-0.06942
36.40800,9.47769,-0.06941
36.50800,9.47769,-0.06929
36.60800,9.47769,-0.06924
36.70800,9.47769,-0.06912
36.80800,9.47769,-0.06903
36.90800,9.47769,-0.06895
37.00800,9.47769,-0.06886
37.10800,9.47769,-0.06882
37.20800,9.47769,-0.06868
37.30800,9.47769,-0.06863
37.40800,9.47769,-0.06855
37.50800,9.47769,-0.06843
37.60800,9.47769,-0.06835
37.70800,9.47769,-0.06824
37.80800,9.47769,-0.06821
37.90800,9.47769,-0.06811
38.00800,9.47769,-0.06802
38.10800,9.47769,-0.06793
38.20800,9.47769,-0.06785
38.30800,9.47769,-0.06775
38.40800,9.47769,-0.06769
38.50800,9.47769,-0.06759
38.60800,9.47769,-0.06753
38.70800,9.47769,-0.06745
38.80800,9.47769,-0.06737
38.90800,9.47769,-0.06732
39.00800,9.47769,-0.06719
39.10800,9.47769,-0.06713
39.20800,9.47769,-0.06708
39.30800,9.47769,-0.06696
39.40800,9.47769,-0.06694
39.50800,9.47769,-0.06681
39.60800,9.47769,-0.06672
39.70800,9.47769,-0.06664
39.80800,9.47769,-0.06660
39.90800,9.47769,-0.06653
40.00800,9.47769,-0.06646
40.10800,9.47769,-0.06637
40.20800,9.47769,-0.06627
40.30800,9.47769,-0.06619
40.40800,9.47769,-0.06613
40.50800,9.47769,-0.06604
40.60800,9.47769,-0.06601
40.70800,9.47769,-0.06590
40.80800,9.47769,-0.06582
40.90800,9.47769,-0.06576
41.00800,9.47769,-0.06567
41.10800,9.47769,-0.06560
41.20800,9.47769,-0.06554
41.30800,9.47769,-0.06544
41.40800,9.47769,-0.06538
41.50800,9.47769,-0.06533
41.60800,9.47769,-0.06522
41.70800,9.47769,-0.06518
41.80800,9.47769,-0.06510
41.90800,9.47769,-0.06502
42.00800,9.47769,-0.06497
42.10800,9.47769,-0.06489
42.20800,9.47769,-0.06479
42.30800,9.47769,-0.06472
42.40800,9.47769,-0.06468
42.50800,9.47769,-0.06456
42.60800,9.47769,-0.06451
42.70800,9.47769,-0.06443
42.80800,9.47769,-0.06434
42.90800,9.47769,-0.06425
43.00800,9.47769,-0.06423
43.10800,9.47769,-0.06415
43.20800,9.47769,-0.06409
43.30800,9.47769,-0.06399
43.40800,9.47769,-0.06392
43.50800,9.47769,-0.06385
43.60800,9.47769,-0.06378
43.70800,9.47769,-0.06373
43.80800,9.47769,-0.06364
43.90800,9.47769,-0.06357
44.00800,9.47769,-0.06350
44.10800,9.47769,-0.06345
44.20800,9.47769,-0.06340
44.30800,9.47769,-0.06328
44.40800,9.47769,-0.06325
44.50800,9.47769,-0.06320
44.60800,9.47769,-0.06315
44.70800,9.47769,-0.06306
44.80800,9.47769,-0.06301
44.90800,9.47769,-0.06293
45.00800,9.47769,-0.06283
45.10800,9.47769,-0.06280
45.20800,9.47769,-0.06273
45.30800,9.47769,-0.06266
45.40800,9.47769,-0.06259
45.50800,9.47769,-0.06252
45.60800,9.47769,-0.06247
45.70800,9.47769,-0.06240
45.80800,9.47769,-0.06235
45.90800,9.47769,-0.06228
46.00800,9.47769,-0.06221
46.10800,9.47769,-0.06215
46.20800,9.47769,-0.06205
46.30800,9.47769,-0.06201
46.40800,9.47769,-0.06198
46.50800,9.47769,-0.06186
46.60800,9.47769,-0.06182
46.70800,9.47769,-0.06175
46.80800,9.47769,-0.06168
46.90800,9.47769,-0.06165
47.00800,9.47769,-0.06159
47.10800,9.47769,-0.06153
47.20800,9.47769,-0.06145
47.30800,9.47769,-0.06135
47.40800,9.47769,-0.06138
47.50800,9.47769,-0.06129
47.60800,9.47769,-0.06123
47.70800,9.47769,-0.06116
47.80800,9.47769,-0.06110
47.90800,9.47769,-0.06101
48.00800,9.47769,-0.06095
48.10800,9.47769,-0.06092
48.20800,9.47769,-0.06084
48.30800,9.47769,-0.06075
48.40800,9.47769,-0.06075
48.50800,9.47769,-0.06063
48.60800,9.47769,-0.06061
48.70800,9.47769,-0.06053
48.80800,9.47769,-0.06048
48.90800,9.47769,-0.06046
49.00800,9.47769,-0.06037
49.10800,9.47769,-0.06032
49.20800,9.47769,-0.06023
49.30800,9.47769,-0.06018
49.40800,9.47769,-0.06012
49.50800,9.47769,-0.06006
49.60800,9.47769,-0.06000
49.70800,9.47769,-0.05997
49.80800,9.47769,-0.05987
49.90800,9.47769,-0.05983
50.00800,9.47769,-0.05974
50.10800,9.47769,-0.05967
50.20800,9.47769,-0.05964
50.30800,9.47769,-0.05957
50.40800,9.47769,-0.05951
50.50800,9.47769,-0.05944
50.60800,9.47769,-0.05940
50.70800,9.47769,-0.05932
50.80800,9.47769,-0.05928
50.90800,9.47769,-0.05921
51.00800,9.47769,-0.05917
51.10800,9.47769,-0.05911
51.20800,9.47769,-0.05907
51.30800,9.47769,-0.05900
51.40800,9.47769,-0.05892
51.50800,9.47769,-0.05889
51.60800,9.47769,-0.05882
51.70800,9.47769,-0.05876
51.80800,9.47769,-0.05871
51.90800,9.47769,-0.05868
52.00800,9.47769,-0.05858
52.10800,9.47769,-0.05856
52.20800,9.47769,-0.05850
52.30800,9.47769,-0.05846
52.40800,9.47769,-0.05839
52.50800,9.47769,-0.05832
52.60800,9.47769,-0.05829
52.70800,9.47769,-0.05822
52.80800,9.47769,-0.05815
52.90800,9.47769,-0.05811
53.00800,9.47769,-0.05803
53.10800,9.47769,-0.05798
53.20800,9.47769,-0.05796
