Time,Extension,Load
(sec),(mm),(N)
0.00000,9.93936,0.00006
0.10000,9.93936,0.00005
0.20000,9.93665,-0.00019
0.30000,9.92811,-0.00119
0.40000,9.92102,-0.00213
0.50000,9.91540,-0.00291
0.60000,9.91019,-0.00354
0.70000,9.90477,-0.00428
0.80000,9.90019,-0.00492
0.90000,9.89519,-0.00558
1.00000,9.88998,-0.00642
1.10000,9.88498,-0.00721
1.20000,9.87998,-0.00803
1.30000,9.87498,-0.00887
1.40000,9.87019,-0.00971
1.50000,9.86477,-0.01059
1.60000,9.86019,-0.01147
1.70000,9.85498,-0.01249
1.80000,9.84998,-0.01341
1.90000,9.84498,-0.01441
2.00000,9.83998,-0.01544
2.10000,9.83519,-0.01644
2.20000,9.83040,-0.01741
2.30000,9.82498,-0.01853
2.40000,9.82040,-0.01956
2.50000,9.81498,-0.02074
2.60000,9.80998,-0.02190
2.70000,9.80498,-0.02309
2.80000,9.79977,-0.02434
2.90000,9.79477,-0.02553
3.00000,9.78998,-0.02665
3.10000,9.78498,-0.02789
3.20000,9.78019,-0.02909
3.30000,9.77498,-0.03036
3.40000,9.76977,-0.03168
3.50000,9.76436,-0.03308
3.60000,9.75936,-0.03451
3.70000,9.75457,-0.03573
3.80000,9.74977,-0.03701
3.90000,9.74477,-0.03834
4.00000,9.73998,-0.03969
4.10000,9.73498,-0.04109
4.20000,9.72977,-0.04257
4.30000,9.72436,-0.04412
4.40000,9.71915,-0.04562
4.50000,9.71457,-0.04707
4.60000,9.70978,-0.04842
4.70000,9.70498,-0.04980
4.80000,9.70019,-0.05118
4.90000,9.69498,-0.05282
5.00000,9.68998,-0.05440
5.10000,9.68457,-0.05611
5.20000,9.67936,-0.05767
5.30000,9.67457,-0.05920
5.40000,9.66978,-0.06066
5.50000,9.66498,-0.06231
5.60000,9.66019,-0.06376
5.70000,9.65478,-0.06557
5.80000,9.64977,-0.06720
5.90000,9.64477,-0.06895
6.00000,9.63978,-0.07056
6.10000,9.63498,-0.07219
6.20000,9.63019,-0.07380
6.30000,9.62519,-0.07557
6.40000,9.62040,-0.07710
6.50000,9.61477,-0.07910
6.60000,9.60978,-0.08092
6.70000,9.60478,-0.08279
6.80000,9.59978,-0.08446
6.90000,9.59519,-0.08614
7.00000,9.58998,-0.08787
7.10000,9.58498,-0.08980
7.20000,9.57998,-0.09146
7.30000,9.57436,-0.09367
7.40000,9.56915,-0.09573
7.50000,9.56436,-0.09749
7.60000,9.55957,-0.09928
7.70000,9.55478,-0.10114
7.80000,9.54998,-0.10294
7.90000,9.54498,-0.10487
8.00000,9.54019,-0.10662
8.10000,9.53457,-0.10890
8.20000,9.52936,-0.11105
