Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
4363.211505	188.303908	26.166667
4362.887831	188.355265	26.183333
4362.887455	188.731597	26.200000
4363.210752	189.056646	26.216667
4363.373342	188.278230	26.233333
4363.049668	188.329587	26.250000
4363.049668	188.329587	26.266667
4363.049668	188.329587	26.283333
4363.049668	188.329587	26.300000
4363.049292	188.705920	26.316667
4363.373342	188.278230	26.333333
4363.050044	187.953322	26.350000
4363.049668	188.329587	26.366667
4363.049668	188.329587	26.383333
4363.211505	188.303908	26.400000
4362.888207	187.979002	26.416667
4363.211505	188.303908	26.433333
4363.050044	187.953322	26.450000
4363.049668	188.329587	26.466667
4363.211505	188.303908	26.483333
4363.049668	188.329587	26.500000
4363.049668	188.329587	26.516667
4363.049668	188.329587	26.533333
4363.373342	188.278230	26.550000
4363.050044	187.953322	26.566667
4363.049668	188.329587	26.583333
4363.211505	188.303908	26.600000
4363.211505	188.303908	26.616667
4363.211881	187.927642	26.633333
4363.211881	187.927642	26.650000
4363.049668	188.329587	26.666667
4363.050044	187.953322	26.683333
4363.211881	187.927642	26.700000
4362.888207	187.979002	26.716667
4363.373342	188.278230	26.733333
4363.050044	187.953322	26.750000
4363.211881	187.927642	26.766667
4362.888207	187.979002	26.783333
4363.373718	187.901962	26.800000
4363.050044	187.953322	26.816667
4363.211881	187.927642	26.833333
4362.888207	187.979002	26.850000
4363.050044	187.953322	26.866667
4363.050044	187.953322	26.883333
4363.373718	187.901962	26.900000
4363.212257	187.551443	26.916667
4363.050044	187.953322	26.933333
4363.050044	187.953322	26.950000
4362.887831	188.355265	26.966667
4363.373718	187.901962	26.983333
4363.050420	187.577125	27.000000
4363.212257	187.551443	27.016667
4362.887831	188.355265	27.033333
4363.211881	187.927642	27.050000
4363.050420	187.577125	27.066667
4363.212257	187.551443	27.083333
4362.888584	187.602806	27.100000
4363.212257	187.551443	27.116667
4363.050044	187.953322	27.133333
4363.373718	187.901962	27.150000
4362.888584	187.602806	27.166667
4363.212257	187.551443	27.183333
4363.050044	187.953322	27.200000
4363.212257	187.551443	27.216667
4363.050420	187.577125	27.233333
4363.050044	187.953322	27.250000
4363.050044	187.953322	27.266667
4363.212257	187.551443	27.283333
4363.212257	187.551443	27.300000
4363.050044	187.953322	27.316667
4363.212257	187.551443	27.333333
4363.050420	187.577125	27.350000
4363.374470	187.149630	27.366667
4362.727123	187.252362	27.383333
4363.373718	187.901962	27.400000
4363.050420	187.577125	27.416667
4363.212257	187.551443	27.433333
4363.050420	187.577125	27.450000
4363.212257	187.551443	27.466667
4362.888584	187.602806	27.483333
4363.211881	187.927642	27.500000
4363.212257	187.551443	27.516667
4363.050797	187.200996	27.533333
4363.050420	187.577125	27.550000
4363.050044	187.953322	27.566667
4363.050420	187.577125	27.583333
4363.212257	187.551443	27.600000
4363.212257	187.551443	27.616667
4362.888960	187.226679	27.633333
4363.212257	187.551443	27.650000
4363.050420	187.577125	27.666667
4363.050420	187.577125	27.683333
4363.212633	187.175313	27.700000
4363.212257	187.551443	27.716667
4363.050797	187.200996	27.733333
4363.212633	187.175313	27.750000
4362.888584	187.602806	27.766667
4363.212257	187.551443	27.783333
4363.050420	187.577125	27.800000
4363.050420	187.577125	27.816667
4363.212257	187.551443	27.833333
4363.212257	187.551443	27.850000
4363.050797	187.200996	27.866667
4363.050420	187.577125	27.883333
4363.050420	187.577125	27.900000
4363.212257	187.551443	27.916667
4363.212633	187.175313	27.933333
4363.050797	187.200996	27.950000
4363.050797	187.200996	27.966667
4363.050797	187.200996	27.983333
4363.212633	187.175313	28.000000
4363.212633	187.175313	28.016667
4363.050420	187.577125	28.033333
4363.050797	187.200996	28.050000
4363.212257	187.551443	28.066667
4363.050797	187.200996	28.083333
4363.050420	187.577125	28.100000
4363.213009	186.799251	28.116667
4363.050420	187.577125	28.133333
4363.212633	187.175313	28.150000
4363.212633	187.175313	28.166667
4362.888960	187.226679	28.183333
4363.212257	187.551443	28.200000
4363.212633	187.175313	28.216667
4363.212633	187.175313	28.233333
4363.050797	187.200996	28.250000
4363.050797	187.200996	28.266667
4363.051173	186.824936	28.283333
4363.050797	187.200996	28.300000
4363.212633	187.175313	28.316667
4363.213009	186.799251	28.333333
4362.888584	187.602806	28.350000
4363.050797	187.200996	28.366667
4363.212633	187.175313	28.383333
4363.213009	186.799251	28.400000
4363.050797	187.200996	28.416667
4363.051173	186.824936	28.433333
4363.212633	187.175313	28.450000
4363.051173	186.824936	28.466667
4363.050420	187.577125	28.483333
4363.212633	187.175313	28.500000
4363.051173	186.824936	28.516667
4363.050797	187.200996	28.533333
4363.050797	187.200996	28.550000
4363.051173	186.824936	28.566667
4363.050797	187.200996	28.583333
4363.051173	186.824936	28.600000
4363.213009	186.799251	28.616667
4363.050797	187.200996	28.633333
4363.213009	186.799251	28.650000
4363.213009	186.799251	28.666667
4363.051173	186.824936	28.683333
4363.051173	186.824936	28.700000
4363.374846	186.773567	28.716667
4363.213009	186.799251	28.733333
4363.051173	186.824936	28.750000
4362.889336	186.850620	28.766667
4363.213009	186.799251	28.783333
4363.051173	186.824936	28.800000
4363.374846	186.773567	28.816667
4363.051173	186.824936	28.833333
4363.051173	186.824936	28.850000
4363.213009	186.799251	28.866667
4363.051173	186.824936	28.883333
4363.213009	186.799251	28.900000
4363.051173	186.824936	28.916667
4363.050797	187.200996	28.933333
4363.213009	186.799251	28.950000
4363.213009	186.799251	28.966667
4363.051173	186.824936	28.983333
4363.213385	186.423257	29.000000
4362.889336	186.850620	29.016667
4363.375222	186.397571	29.033333
4362.889336	186.850620	29.050000
4363.213009	186.799251	29.066667
4363.051173	186.824936	29.083333
4363.374846	186.773567	29.100000
4363.051549	186.448943	29.116667
4363.375222	186.397571	29.133333
4362.889712	186.474629	29.150000
4363.213009	186.799251	29.166667
4362.889712	186.474629	29.183333
4363.051173	186.824936	29.200000
4363.051549	186.448943	29.216667
4363.213009	186.799251	29.233333
4363.051173	186.824936	29.250000
4363.051173	186.824936	29.266667
4363.375222	186.397571	29.283333
4363.051924	186.073019	29.300000
4363.051549	186.448943	29.316667
4363.051549	186.448943	29.333333
4363.213009	186.799251	29.350000
4362.889336	186.850620	29.366667
4363.374846	186.773567	29.383333
4363.051549	186.448943	29.400000
4363.213385	186.423257	29.416667
4363.051549	186.448943	29.433333
4363.213009	186.799251	29.450000
4362.889712	186.474629	29.466667
4363.213385	186.423257	29.483333
4363.051549	186.448943	29.500000
4363.051173	186.824936	29.516667
4363.213385	186.423257	29.533333
4363.051549	186.448943	29.550000
4363.213385	186.423257	29.566667
4363.051549	186.448943	29.583333
4363.051173	186.824936	29.600000
4363.213385	186.423257	29.616667
4363.213385	186.423257	29.633333
4363.051549	186.448943	29.650000
4363.051549	186.448943	29.666667
4363.051549	186.448943	29.683333
4363.213385	186.423257	29.700000
4363.051549	186.448943	29.716667
4363.213385	186.423257	29.733333
4362.889712	186.474629	29.750000
4363.213385	186.423257	29.766667
4362.889712	186.474629	29.783333
4363.375598	186.021644	29.800000
4362.890088	186.098707	29.816667
4363.213385	186.423257	29.833333
4363.375598	186.021644	29.850000
4362.889712	186.474629	29.866667
4363.051549	186.448943	29.883333
4363.213761	186.047331	29.900000
4363.051549	186.448943	29.916667
4363.213385	186.423257	29.933333
4363.213385	186.423257	29.950000
4363.213761	186.047331	29.966667
4363.051924	186.073019	29.983333
4363.051924	186.073019	30.000000
4363.051924	186.073019	30.016667
4363.051924	186.073019	30.033333
4363.375222	186.397571	30.050000
4362.889712	186.474629	30.066667
4363.051549	186.448943	30.083333
4363.213761	186.047331	30.100000
4363.051924	186.073019	30.116667
4363.375598	186.021644	30.133333
4363.051924	186.073019	30.150000
4363.051924	186.073019	30.166667
4362.890088	186.098707	30.183333
4363.051549	186.448943	30.200000
4363.213385	186.423257	30.216667
4363.213761	186.047331	30.233333
4363.051924	186.073019	30.250000
4363.213385	186.423257	30.266667
4362.890088	186.098707	30.283333
4363.213385	186.423257	30.300000
4362.890088	186.098707	30.316667
4363.375598	186.021644	30.333333
4363.051924	186.073019	30.350000
4363.213761	186.047331	30.366667
4363.051924	186.073019	30.383333
4363.051924	186.073019	30.400000
4363.213761	186.047331	30.416667
4363.375598	186.021644	30.433333
4363.052300	185.697163	30.450000
4363.051924	186.073019	30.466667
4362.890464	185.722852	30.483333
4363.375598	186.021644	30.500000
4363.051924	186.073019	30.516667
4363.213761	186.047331	30.533333
4363.213761	186.047331	30.550000
4363.214137	185.671474	30.566667
4362.890464	185.722852	30.583333
4363.052300	185.697163	30.600000
4363.051924	186.073019	30.616667
4363.213761	186.047331	30.633333
4363.213761	186.047331	30.650000
4363.051924	186.073019	30.666667
4363.051924	186.073019	30.683333
4363.213761	186.047331	30.700000
4363.214137	185.671474	30.716667
4363.214137	185.671474	30.733333
4362.890088	186.098707	30.750000
4363.213761	186.047331	30.766667
4363.051924	186.073019	30.783333
4363.213761	186.047331	30.800000
4363.051924	186.073019	30.816667
4363.375598	186.021644	30.833333
4362.890088	186.098707	30.850000
4363.213761	186.047331	30.866667
4363.052300	185.697163	30.883333
4363.052300	185.697163	30.900000
4363.052300	185.697163	30.916667
4363.375222	186.397571	30.933333
4363.052300	185.697163	30.950000
4363.214137	185.671474	30.966667
4363.051924	186.073019	30.983333
4363.051924	186.073019	31.000000
4363.214137	185.671474	31.016667
4363.214137	185.671474	31.033333
4363.052300	185.697163	31.050000
4363.051924	186.073019	31.066667
4363.051924	186.073019	31.083333
4363.214137	185.671474	31.100000
4363.214513	185.295684	31.116667
4363.052300	185.697163	31.133333
4363.214137	185.671474	31.150000
4363.214137	185.671474	31.166667
4363.052300	185.697163	31.183333
4363.052300	185.697163	31.200000
4363.213761	186.047331	31.216667
4363.052300	185.697163	31.233333
4363.052300	185.697163	31.250000
4363.052676	185.321375	31.266667
4362.890464	185.722852	31.283333
4363.052300	185.697163	31.300000
4363.375974	185.645784	31.316667
4363.214137	185.671474	31.333333
4362.890464	185.722852	31.350000
4363.052300	185.697163	31.366667
4363.214137	185.671474	31.383333
4363.052676	185.321375	31.400000
4363.052300	185.697163	31.416667
4363.214513	185.295684	31.433333
4362.890464	185.722852	31.450000
4363.214137	185.671474	31.466667
4363.052300	185.697163	31.483333
4363.052300	185.697163	31.500000
4363.052300	185.697163	31.516667
4363.214137	185.671474	31.533333
4363.052676	185.321375	31.550000
4363.052300	185.697163	31.566667
4363.052676	185.321375	31.583333
4363.052300	185.697163	31.600000
4363.214513	185.295684	31.616667
4363.214513	185.295684	31.633333
4362.890464	185.722852	31.650000
4363.052300	185.697163	31.666667
4363.214513	185.295684	31.683333
4363.052676	185.321375	31.700000
4363.214513	185.295684	31.716667
4363.052676	185.321375	31.733333
4363.375974	185.645784	31.750000
4363.052676	185.321375	31.766667
4363.214513	185.295684	31.783333
4362.890839	185.347066	31.800000
4363.214513	185.295684	31.816667
4363.052300	185.697163	31.833333
4363.376350	185.269993	31.850000
4363.052676	185.321375	31.866667
4362.890464	185.722852	31.883333
4363.376725	184.894270	31.900000
4362.891215	184.971347	31.916667
4363.214513	185.295684	31.933333
4362.890464	185.722852	31.950000
4363.375974	185.645784	31.966667
4363.052676	185.321375	31.983333
4363.214513	185.295684	32.000000
4362.890839	185.347066	32.016667
4363.214137	185.671474	32.033333
4363.052676	185.321375	32.050000
4363.214513	185.295684	32.066667
4363.053052	184.945655	32.083333
4363.052676	185.321375	32.100000
4363.052676	185.321375	32.116667
4363.214513	185.295684	32.133333
4363.214513	185.295684	32.150000
4363.053052	184.945655	32.166667
4363.052676	185.321375	32.183333
4363.214513	185.295684	32.200000
4363.052676	185.321375	32.216667
4363.214513	185.295684	32.233333
4363.052300	185.697163	32.250000
4363.214513	185.295684	32.266667
4363.214513	185.295684	32.283333
4363.214889	184.919963	32.300000
4362.890839	185.347066	32.316667
4363.376350	185.269993	32.333333
4363.053052	184.945655	32.350000
4362.890839	185.347066	32.366667
4363.052676	185.321375	32.383333
4363.214513	185.295684	32.400000
4363.214513	185.295684	32.416667
4363.214889	184.919963	32.433333
4363.052676	185.321375	32.450000
4363.053052	184.945655	32.466667
4363.052676	185.321375	32.483333
4363.214513	185.295684	32.500000
4363.053052	184.945655	32.516667
4363.052676	185.321375	32.533333
4363.052300	185.697163	32.550000
4363.214513	185.295684	32.566667
4363.214889	184.919963	32.583333
4363.053052	184.945655	32.600000
4363.214889	184.919963	32.616667
4362.891215	184.971347	32.633333
4363.376725	184.894270	32.650000
4363.052676	185.321375	32.666667
4363.053052	184.945655	32.683333
4363.214513	185.295684	32.700000
4363.214889	184.919963	32.716667
4363.214889	184.919963	32.733333
4363.053428	184.570003	32.750000
4362.890839	185.347066	32.766667
4363.052676	185.321375	32.783333
4363.376350	185.269993	32.800000
4363.053052	184.945655	32.816667
4363.052676	185.321375	32.833333
4363.214513	185.295684	32.850000
4363.053052	184.945655	32.866667
4363.214889	184.919963	32.883333
4363.052676	185.321375	32.900000
4363.053052	184.945655	32.916667
4363.052676	185.321375	32.933333
4363.214889	184.919963	32.950000
4363.053052	184.945655	32.966667
4363.214889	184.919963	32.983333
4363.053052	184.945655	33.000000
4363.052676	185.321375	33.016667
4363.376725	184.894270	33.033333
4363.053052	184.945655	33.050000
4363.214889	184.919963	33.066667
4363.053052	184.945655	33.083333
4363.214889	184.919963	33.100000
4363.053052	184.945655	33.116667
4363.053052	184.945655	33.133333
4363.053428	184.570003	33.150000
4363.214889	184.919963	33.166667
4363.053052	184.945655	33.183333
4363.215264	184.544309	33.200000
4363.053428	184.570003	33.216667
4363.053052	184.945655	33.233333
4363.214889	184.919963	33.250000
4363.215264	184.544309	33.266667
4363.053052	184.945655	33.283333
4363.053052	184.945655	33.300000
4363.376725	184.894270	33.316667
4363.053428	184.570003	33.333333
4363.053428	184.570003	33.350000
4363.053052	184.945655	33.366667
4363.215264	184.544309	33.383333
4363.053052	184.945655	33.400000
4363.215264	184.544309	33.416667
4363.053052	184.945655	33.433333
4363.053052	184.945655	33.450000
4363.214889	184.919963	33.466667
4363.053052	184.945655	33.483333
4363.053052	184.945655	33.500000
4363.376725	184.894270	33.516667
4363.053428	184.570003	33.533333
4362.891591	184.595697	33.550000
4363.377101	184.518616	33.566667
4363.053052	184.945655	33.583333
4363.376725	184.894270	33.600000
4362.891591	184.595697	33.616667
4363.214889	184.919963	33.633333
4363.053428	184.570003	33.650000
4363.377101	184.518616	33.666667
4362.891591	184.595697	33.683333
4363.215640	184.168724	33.700000
4362.891215	184.971347	33.716667
4363.538562	184.868578	33.733333
4362.729754	184.621391	33.750000
4363.214889	184.919963	33.766667
4363.053428	184.570003	33.783333
4363.215264	184.544309	33.800000
4363.053428	184.570003	33.816667
4363.053428	184.570003	33.833333
4363.214889	184.919963	33.850000
4363.053428	184.570003	33.866667
4363.215264	184.544309	33.883333
4363.053052	184.945655	33.900000
4362.891591	184.595697	33.916667
4363.214889	184.919963	33.933333
4363.215264	184.544309	33.950000
4362.891591	184.595697	33.966667
4363.215264	184.544309	33.983333
4363.053428	184.570003	34.000000
4363.215264	184.544309	34.016667
4363.053428	184.570003	34.033333
4363.215264	184.544309	34.050000
4363.053428	184.570003	34.066667
4363.215264	184.544309	34.083333
4363.053428	184.570003	34.100000
4363.377477	184.143029	34.116667
4362.891966	184.220115	34.133333
4363.053803	184.194420	34.150000
4363.215264	184.544309	34.166667
4363.053428	184.570003	34.183333
4363.215264	184.544309	34.200000
4363.053803	184.194420	34.216667
4363.215640	184.168724	34.233333
4363.053428	184.570003	34.250000
4363.215264	184.544309	34.266667
4363.053803	184.194420	34.283333
4363.215264	184.544309	34.300000
4363.215640	184.168724	34.316667
4363.053428	184.570003	34.333333
4363.053803	184.194420	34.350000
4363.377477	184.143029	34.366667
4362.891966	184.220115	34.383333
4363.215640	184.168724	34.400000
4363.053428	184.570003	34.416667
4363.053803	184.194420	34.433333
4363.053803	184.194420	34.450000
4363.215264	184.544309	34.466667
4363.053428	184.570003	34.483333
4363.215640	184.168724	34.500000
4363.215640	184.168724	34.516667
4363.053428	184.570003	34.533333
4363.053428	184.570003	34.550000
4363.215640	184.168724	34.566667
4363.215640	184.168724	34.583333
4363.053803	184.194420	34.600000
4363.053428	184.570003	34.616667
4363.215640	184.168724	34.633333
4363.215264	184.544309	34.650000
4362.891966	184.220115	34.666667
4363.053428	184.570003	34.683333
4363.215264	184.544309	34.700000
4363.053803	184.194420	34.716667
4363.053428	184.570003	34.733333
4363.215264	184.544309	34.750000
4363.053803	184.194420	34.766667
4363.215264	184.544309	34.783333
4363.053803	184.194420	34.800000
4363.215640	184.168724	34.816667
4363.053803	184.194420	34.833333
4363.053803	184.194420	34.850000
4363.053803	184.194420	34.866667
4362.891966	184.220115	34.883333
4363.053428	184.570003	34.900000
4363.215640	184.168724	34.916667
4363.215640	184.168724	34.933333
4363.216015	183.793207	34.950000
4363.054179	183.818904	34.966667
4363.053803	184.194420	34.983333
4362.891966	184.220115	35.000000
4363.053428	184.570003	35.016667
4363.053803	184.194420	35.033333
4363.215640	184.168724	35.050000
4363.215640	184.168724	35.066667
4362.891966	184.220115	35.083333
4363.053428	184.570003	35.100000
4363.215640	184.168724	35.116667
4363.054179	183.818904	35.133333
4363.215640	184.168724	35.150000
4363.054179	183.818904	35.166667
4362.891591	184.595697	35.183333
4363.377477	184.143029	35.200000
4363.054179	183.818904	35.216667
4363.215640	184.168724	35.233333
4363.215640	184.168724	35.250000
4363.215640	184.168724	35.266667
4363.053803	184.194420	35.283333
4363.216015	183.793207	35.300000
4363.053803	184.194420	35.316667
4363.216015	183.793207	35.333333
4363.054179	183.818904	35.350000
4363.215640	184.168724	35.366667
4363.053803	184.194420	35.383333
4363.054179	183.818904	35.400000
4362.891966	184.220115	35.416667
4363.216015	183.793207	35.433333
4363.215640	184.168724	35.450000
4363.216015	183.793207	35.466667
4363.215640	184.168724	35.483333
4362.892342	183.844601	35.500000
4363.215640	184.168724	35.516667
4363.053803	184.194420	35.533333
4363.377852	183.767510	35.550000
4362.892342	183.844601	35.566667
4363.377852	183.767510	35.583333
4362.892342	183.844601	35.600000
4363.216015	183.793207	35.616667
4362.891966	184.220115	35.633333
4363.377852	183.767510	35.650000
4362.892342	183.844601	35.666667
4363.215640	184.168724	35.683333
4363.054179	183.818904	35.700000
4363.216015	183.793207	35.716667
4363.054179	183.818904	35.733333
4363.054179	183.818904	35.750000
4363.216015	183.793207	35.766667
4363.054179	183.818904	35.783333
4363.054179	183.818904	35.800000
4363.054179	183.818904	35.816667
4363.216015	183.793207	35.833333
4363.216015	183.793207	35.850000
4363.054179	183.818904	35.866667
4363.054179	183.818904	35.883333
4363.216015	183.793207	35.900000
4363.054179	183.818904	35.916667
4363.215640	184.168724	35.933333
4363.216015	183.793207	35.950000
4363.054179	183.818904	35.966667
4363.054554	183.443457	35.983333
4363.215640	184.168724	36.000000
4363.054179	183.818904	36.016667
4363.216391	183.417758	36.033333
4363.054554	183.443457	36.050000
4363.216015	183.793207	36.066667
4363.054179	183.818904	36.083333
4363.054179	183.818904	36.100000
4363.054179	183.818904	36.116667
4363.216391	183.417758	36.133333
4363.054554	183.443457	36.150000
4363.054179	183.818904	36.166667
4363.216015	183.793207	36.183333
4363.216015	183.793207	36.200000
4363.054179	183.818904	36.216667
4362.892342	183.844601	36.233333
4363.216015	183.793207	36.250000
4363.216015	183.793207	36.266667
4363.054179	183.818904	36.283333
4363.054554	183.443457	36.300000
4363.054179	183.818904	36.316667
4363.054554	183.443457	36.333333
4363.216015	183.793207	36.350000
4363.216391	183.417758	36.366667
4363.054179	183.818904	36.383333
4362.892342	183.844601	36.400000
4363.216015	183.793207	36.416667
4363.054554	183.443457	36.433333
4363.377852	183.767510	36.450000
4362.892717	183.469155	36.466667
4363.054179	183.818904	36.483333
4363.216015	183.793207	36.500000
4363.216391	183.417758	36.516667
4363.054554	183.443457	36.533333
4363.054179	183.818904	36.550000
4363.216015	183.793207	36.566667
4363.216391	183.417758	36.583333
4363.054554	183.443457	36.600000
4363.054554	183.443457	36.616667
4363.216015	183.793207	36.633333
4363.216015	183.793207	36.650000
4363.054554	183.443457	36.666667
4363.216391	183.417758	36.683333
4363.054554	183.443457	36.700000
4363.216391	183.417758	36.716667
4363.054179	183.818904	36.733333
4363.378228	183.392060	36.750000
4363.054554	183.443457	36.766667
4363.054554	183.443457	36.783333
4363.054554	183.443457	36.800000
4363.216391	183.417758	36.816667
4363.054554	183.443457	36.833333
4363.216015	183.793207	36.850000
4363.054554	183.443457	36.866667
4363.054179	183.818904	36.883333
4363.054554	183.443457	36.900000
4363.216391	183.417758	36.916667
4363.054554	183.443457	36.933333
4363.216391	183.417758	36.950000
4363.054929	183.068078	36.966667
4363.054554	183.443457	36.983333
4363.054554	183.443457	37.000000
4362.892717	183.469155	37.016667
4363.054554	183.443457	37.033333
4363.216391	183.417758	37.050000
4363.216766	183.042378	37.066667
4363.054554	183.443457	37.083333
4363.216391	183.417758	37.100000
4363.216391	183.417758	37.116667
4363.054929	183.068078	37.133333
4363.216391	183.417758	37.150000
4362.892342	183.844601	37.166667
4363.054179	183.818904	37.183333
4363.216391	183.417758	37.200000
4363.216766	183.042378	37.216667
4363.054929	183.068078	37.233333
4363.216391	183.417758	37.250000
4362.892717	183.469155	37.266667
4363.216766	183.042378	37.283333
4363.054554	183.443457	37.300000
4363.216391	183.417758	37.316667
4363.216391	183.417758	37.333333
4363.378603	183.016678	37.350000
4363.054554	183.443457	37.366667
4363.054929	183.068078	37.383333
4362.730880	183.494854	37.400000
4363.216391	183.417758	37.416667
4363.216391	183.417758	37.433333
4363.216391	183.417758	37.450000
4363.054929	183.068078	37.466667
4363.216766	183.042378	37.483333
4363.216766	183.042378	37.500000
4363.054929	183.068078	37.516667
4363.216766	183.042378	37.533333
4363.054554	183.443457	37.550000
4363.216766	183.042378	37.566667
4363.054554	183.443457	37.583333
4363.216766	183.042378	37.600000
4362.892717	183.469155	37.616667
4363.216391	183.417758	37.633333
4363.216766	183.042378	37.650000
4363.216766	183.042378	37.666667
4362.893093	183.093778	37.683333
4363.054554	183.443457	37.700000
4363.216391	183.417758	37.716667
4363.216766	183.042378	37.733333
4363.216766	183.042378	37.750000
4362.892717	183.469155	37.766667
4363.216391	183.417758	37.783333
4363.054929	183.068078	37.800000
4363.378603	183.016678	37.816667
4362.892717	183.469155	37.833333
4363.378228	183.392060	37.850000
4363.054929	183.068078	37.866667
4363.216766	183.042378	37.883333
4362.893468	182.718468	37.900000
4363.216766	183.042378	37.916667
4363.054554	183.443457	37.933333
4363.540440	182.990978	37.950000
4363.054929	183.068078	37.966667
4362.893093	183.093778	37.983333
4363.054554	183.443457	38.000000
4363.378603	183.016678	38.016667
4363.054929	183.068078	38.033333
4363.054929	183.068078	38.050000
4363.054929	183.068078	38.066667
4363.054554	183.443457	38.083333
4363.216766	183.042378	38.100000
4363.054929	183.068078	38.116667
4363.216766	183.042378	38.133333
4363.055305	182.692767	38.150000
4363.216766	183.042378	38.166667
4363.216766	183.042378	38.183333
4363.054929	183.068078	38.200000
4362.893093	183.093778	38.216667
4363.216766	183.042378	38.233333
4363.216766	183.042378	38.250000
4363.216766	183.042378	38.266667
4363.054929	183.068078	38.283333
4363.216766	183.042378	38.300000
4363.054929	183.068078	38.316667
4363.216766	183.042378	38.333333
4363.054929	183.068078	38.350000
4363.054929	183.068078	38.366667
4363.055305	182.692767	38.383333
4363.054929	183.068078	38.400000
4363.054929	183.068078	38.416667
4363.216766	183.042378	38.433333
4363.217142	182.667065	38.450000
4363.054929	183.068078	38.466667
4363.054929	183.068078	38.483333
4363.216766	183.042378	38.500000
4363.216766	183.042378	38.516667
4362.893093	183.093778	38.533333
4363.216766	183.042378	38.550000
4363.216766	183.042378	38.566667
4363.054929	183.068078	38.583333
4363.055305	182.692767	38.600000
4363.216766	183.042378	38.616667
4362.893468	182.718468	38.633333
4363.216766	183.042378	38.650000
4363.054929	183.068078	38.666667
4363.217142	182.667065	38.683333
4362.893468	182.718468	38.700000
4363.378603	183.016678	38.716667
4363.055305	182.692767	38.733333
4363.217142	182.667065	38.750000
4363.055305	182.692767	38.766667
4362.893093	183.093778	38.783333
4363.216766	183.042378	38.800000
4363.055305	182.692767	38.816667
4363.055305	182.692767	38.833333
4363.054929	183.068078	38.850000
4363.216766	183.042378	38.866667
4363.055305	182.692767	38.883333
4363.055305	182.692767	38.900000
4363.055305	182.692767	38.916667
4363.054929	183.068078	38.933333
4363.217142	182.667065	38.950000
4363.055305	182.692767	38.966667
4363.217142	182.667065	38.983333
4363.055305	182.692767	39.000000
4363.054929	183.068078	39.016667
4363.216766	183.042378	39.033333
4363.055305	182.692767	39.050000
4363.054929	183.068078	39.066667
4363.054929	183.068078	39.083333
4363.216766	183.042378	39.100000
4363.054929	183.068078	39.116667
4363.216766	183.042378	39.133333
4363.216766	183.042378	39.150000
4363.217142	182.667065	39.166667
4363.054929	183.068078	39.183333
4363.217142	182.667065	39.200000
4362.893468	182.718468	39.216667
4363.216766	183.042378	39.233333
4363.055305	182.692767	39.250000
4363.378978	182.641364	39.266667
4362.893468	182.718468	39.283333
4363.055305	182.692767	39.300000
4363.055305	182.692767	39.316667
4363.217142	182.667065	39.333333
4363.055305	182.692767	39.350000
4363.217517	182.291821	39.366667
4363.217142	182.667065	39.383333
4362.893468	182.718468	39.400000
4363.055305	182.692767	39.416667
4363.055305	182.692767	39.433333
4363.379354	182.266118	39.450000
4363.055305	182.692767	39.466667
4363.055680	182.317524	39.483333
4363.217142	182.667065	39.500000
4363.055680	182.317524	39.516667
4363.055305	182.692767	39.533333
4363.378978	182.641364	39.550000
4363.055305	182.692767	39.566667
4363.055680	182.317524	39.583333
4362.893468	182.718468	39.600000
4363.378978	182.641364	39.616667
4363.055305	182.692767	39.633333
4363.378978	182.641364	39.650000
4363.217142	182.667065	39.666667
4363.055680	182.317524	39.683333
4363.055305	182.692767	39.700000
4363.055305	182.692767	39.716667
4362.893468	182.718468	39.733333
4363.378978	182.641364	39.750000
4363.055305	182.692767	39.766667
4363.217142	182.667065	39.783333
4363.055680	182.317524	39.800000
4363.055305	182.692767	39.816667
4363.055305	182.692767	39.833333
4363.054929	183.068078	39.850000
4363.217142	182.667065	39.866667
4363.055680	182.317524	39.883333
4363.055305	182.692767	39.900000
4363.217142	182.667065	39.916667
4363.055680	182.317524	39.933333
4363.217517	182.291821	39.950000
4363.055680	182.317524	39.966667
4363.055680	182.317524	39.983333
4362.893843	182.343227	40.000000
4363.055305	182.692767	40.016667
4363.379354	182.266118	40.033333
4363.055680	182.317524	40.050000
4363.055305	182.692767	40.066667
4363.217517	182.291821	40.083333
4363.217517	182.291821	40.100000
4362.893843	182.343227	40.116667
4362.893468	182.718468	40.133333
4363.378978	182.641364	40.150000
4362.893843	182.343227	40.166667
4363.379354	182.266118	40.183333
4362.893843	182.343227	40.200000
4363.055680	182.317524	40.216667
4363.217142	182.667065	40.233333
4363.217517	182.291821	40.250000
4363.055680	182.317524	40.266667
4363.217142	182.667065	40.283333
4362.893843	182.343227	40.300000
4363.217517	182.291821	40.316667
4363.217517	182.291821	40.333333
4363.055680	182.317524	40.350000
4363.055680	182.317524	40.366667
4363.055680	182.317524	40.383333
4363.055305	182.692767	40.400000
4363.217517	182.291821	40.416667
4363.055305	182.692767	40.433333
4363.055305	182.692767	40.450000
4363.055305	182.692767	40.466667
4363.217142	182.667065	40.483333
4363.055680	182.317524	40.500000
4363.055305	182.692767	40.516667
4363.217517	182.291821	40.533333
4363.055680	182.317524	40.550000
4363.055680	182.317524	40.566667
4363.055680	182.317524	40.583333
4363.217517	182.291821	40.600000
4363.055680	182.317524	40.616667
4363.217517	182.291821	40.633333
4363.217517	182.291821	40.650000
4363.055680	182.317524	40.666667
