Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
641.251162	7.344609	3.450000
645.134605	7.368633	3.466667
648.694219	7.598715	3.483333
652.577659	7.626443	3.500000
656.299402	7.538647	3.516667
660.020851	7.745496	3.533333
663.904286	7.778299	3.550000
667.626025	7.694599	3.566667
671.509456	7.730465	3.583333
675.392738	7.916127	3.600000
678.628803	8.072685	3.616667
682.350389	8.143194	3.633333
686.395653	8.156917	3.650000
690.279076	8.201579	3.666667
693.838965	8.156681	3.683333
697.560544	8.233638	3.700000
701.443811	8.433433	3.716667
705.003546	8.543327	3.733333
708.725271	8.474667	3.750000
712.608532	8.680528	3.766667
716.168262	8.795495	3.783333
720.213511	8.824520	3.800000
723.935077	8.913668	3.816667
727.818635	8.822660	3.833333
731.216518	8.973281	3.850000
735.099921	9.037992	3.866667
738.821481	9.133601	3.883333
742.543040	9.230909	3.900000
746.426437	9.300725	3.916667
750.147992	9.401432	3.933333
753.869545	9.503839	3.950000
757.752937	9.578766	3.966667
761.150962	9.587416	3.983333
765.034351	9.665420	4.000000
768.917739	9.745131	4.016667
772.477444	9.884886	4.033333
776.198987	9.997171	4.050000
780.244210	10.052836	4.066667
783.965750	10.168533	4.083333
787.849286	10.099044	4.100000
791.570823	10.217825	4.116667
795.130677	10.209137	4.133333
798.528372	10.547938	4.150000
802.735583	10.425418	4.166667
806.133433	10.608973	4.183333
810.178802	10.518105	4.200000
813.738330	10.835491	4.216667
817.621856	10.776530	4.233333
821.505220	10.879176	4.250000
825.064902	11.041784	4.266667
828.786584	11.015837	4.283333
832.508103	11.152407	4.300000
836.553301	11.232455	4.316667
840.113139	11.239508	4.333333
843.996494	11.351773	4.350000
847.556166	11.523968	4.366667
851.277840	11.505790	4.383333
854.999350	11.651970	4.400000
858.882862	11.607199	4.416667
862.442528	11.785573	4.433333
866.487714	11.878379	4.450000
870.047541	11.895690	4.466667
873.930883	12.020695	4.483333
877.652383	12.176502	4.500000
881.374047	12.168619	4.516667
884.933704	12.356603	4.533333
888.655365	12.351227	4.550000
892.700539	12.455096	4.566667
896.584038	12.423169	4.583333
899.819841	12.842398	4.600000
903.865178	12.784190	4.616667
907.586832	12.785232	4.633333
911.308318	12.955174	4.650000
915.191811	12.929679	4.666667
918.751453	13.131781	4.683333
922.796615	13.248462	4.700000
926.356423	13.284972	4.716667
929.916061	13.491893	4.733333
933.961387	13.443804	4.750000
937.521022	13.653835	4.766667
941.566346	13.608281	4.783333
945.125977	13.821423	4.800000
948.685607	14.036280	4.816667
952.569087	14.023679	4.833333
956.452565	14.012212	4.850000
960.174031	14.202561	4.866667
963.895666	14.222636	4.883333
967.455289	14.445112	4.900000
971.338590	14.611298	4.916667
975.060221	14.635294	4.933333
978.943519	14.804612	4.950000
982.665148	14.831138	4.966667
986.386777	14.858794	4.983333
989.946564	14.916570	5.000000
993.668015	15.120803	5.016667
997.551480	15.123136	5.033333
1001.273103	15.155586	5.050000
1004.994550	15.364347	5.066667
1009.039676	15.516893	5.083333
1012.761295	15.553280	5.100000
1016.321074	15.619766	5.116667
1019.880674	15.863751	5.133333
1023.925970	15.845882	5.150000
1027.647408	16.064040	5.166667
1031.530862	16.077678	5.183333
1034.928616	16.356871	5.200000
